"Area_Actual","Area","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"selayang","Other","terrace house",0,0,1071,17.0000000000001,1498800.00000005,1554008.80796705
"muar","Other","terrace house",0,1,630.000000000001,17.0000000000001,895000.000000007,958794.464165327
"subang jaya","subang jaya","semi d",1,1,568.999999999999,17.0000000000001,1599999.99999998,1379985.63122297
"sungai jawi","Other","terrace house",0,1,247.999999999999,17.0000000000001,339999.999999985,380226.280556953
"tampoi","Other","terrace house",0,1,415.000000000001,17.0000000000001,540000.000000024,633677.587825266
"nilai","Other","terrace house",0,1,200.000000000001,17.0000000000001,350000.000000001,307156.747511945
"klang","klang","semi d",0,1,247.999999999999,17.0000000000001,599799.999999972,565345.193705807
"padang serai","Other","terrace house",0,1,209,17.0000000000001,269999.999999997,320866.966213868
"merbok","Other","terrace house",0,1,150.000000000001,17.0000000000001,209999.999999999,230892.835095056
"sibu","Other","terrace house",0,0,197,17.0000000000001,380000.000000012,289702.166716442
"bandar puncak alam","Other","apartment",0,0,257,17.0000000000001,185000.000000007,202890.025060496
"taman desa","Other","condominium",0,0,421.999999999999,17.0000000000001,395000.000000016,478555.372112412
"tampoi","Other","apartment",0,1,291.999999999999,17.0000000000001,399999.999999992,240529.275922573
"gelang patah","Other","apartment",0,0,226.000000000001,17.0000000000001,179999.999999991,178598.56801247
"sri petaling","Other","condominium",0,0,318.999999999999,17.0000000000001,360000.000000003,362553.83957264
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","apartment",0,1,415.000000000001,17.0000000000001,460000.00000001,380432.218772868
"permas jaya","Other","apartment",0,0,344.000000000001,17.0000000000001,290000.000000013,270946.490217565
"bedong","Other","terrace house",0,1,245.999999999999,16,361999.999999997,377671.181654255
"rawang","Other","terrace house",0,1,360.000000000002,16,623400.000000016,551025.930431669
"ayer molek","Other","terrace house",1,1,129,16,337834.000000007,212637.660921347
"klang","klang","terrace house",0,1,408.999999999999,16,538999.999999982,671328.497436214
"shah alam","shah alam","semi d",1,1,315.999999999999,16,487499.999999981,750848.733260869
"kampar","Other","terrace house",0,0,270.000000000002,16,299999.999999989,396575.536522694
"alor setar","Other","terrace house",1,1,206,16,311111.000000003,338304.95591044
"balai panjang","Other","terrace house",0,1,203.000000000001,16,311999.999999994,312129.890657088
"kota damansara","Other","terrace house",1,0,630.000000000001,16,2400000.00000006,981842.240269229
"shah alam","shah alam","service residence",0,0,356,16,299999.999999989,321736.060699341
"klang","klang","flat",0,1,220.999999999999,16,142999.999999994,154374.421419606
"setapak","Other","condominium",0,0,364,16,519999.999999995,413799.472733862
"klang","klang","apartment",0,1,321.000000000001,16,369999.999999997,283991.940093321
"cyberjaya","Other","service residence",0,1,476,16,250000.000000004,427710.236819964
"ulu tiram","Other","flat",0,1,232,16,135000.000000004,150911.743972434
"rawang","Other","flat",0,0,264.000000000001,16,215000,164247.285561111
"ayer itam","Other","flat",0,1,307.000000000001,16,195000.000000003,199255.505230885
"setia alam","Other","apartment",0,1,406.999999999998,16,389999.999999989,334809.857549262
"tanjong tokong","Other","service residence",0,1,767.000000000003,16,855000.000000003,686590.448160289
"kapar","kapar","terrace house",0,1,441.000000000002,15,610000.000000003,639482.252842715
"melaka city","Other","town house",1,0,279.000000000001,15,469999.999999981,457349.06695085
"ipoh","ipoh","terrace house",0,0,230.000000000001,15,319999.999999997,330131.650605156
"rawang","Other","terrace house",0,1,404,15,680000.000000007,618658.609082783
"jelutong","Other","semi d",1,1,589.999999999997,15,1800000.00000001,1332792.16402752
"kuantan","kuantan","semi d",1,0,158,15,220000,340361.653300091
"serendah","Other","flat",0,1,76.9999999999997,15,50000.0000000008,50595.8158834839
"sungai ara","Other","condominium",0,1,493.999999999999,15,575000.000000007,585947.428924856
"sungai jawi","Other","flat",0,1,99.9999999999999,15,54999.9999999996,65573.0269656055
"subang jaya","subang jaya","service residence",0,1,550.999999999998,15,595000.00000002,532932.482900211
"bukit jalil","Other","apartment",0,0,303.999999999999,15,220000,240314.940037965
"hulu langat","Other","flat",0,1,299.000000000001,15,225000.00000001,194370.592573082
"johor bahru","johor bahru","apartment",0,0,419.999999999998,15,420000.00000002,399549.34563233
"penampang","Other","apartment",0,0,375,15,350000.000000001,295948.923828698
"jalan klang lama (old klang road)","Other","flat",0,0,257,15,179999.999999991,160146.121762046
"setapak","Other","condominium",0,1,412.000000000002,15,350000.000000001,489387.655731168
"kajang","kajang","condominium",0,1,302,15,389999.999999989,364199.958267083
"puchong","puchong","apartment",0,1,432,15,449999.999999999,381725.27199054
"butterworth","Other","flat",0,1,222,15,115000.000000002,144655.899345913
"setapak","Other","service residence",0,0,465.000000000002,15,499999.999999986,400660.153150047
"muar","Other","terrace house",0,1,233,14,488999.999999996,358885.388901493
"dengkil","Other","terrace house",0,1,418.000000000001,14,585000.000000004,640865.152267462
"kapar","kapar","terrace house",0,1,295,14,377999.999999991,429766.106830841
"kuala ketil","Other","terrace house",0,1,136,14,237499.999999992,210372.942138327
"tampin","Other","semi d",1,1,107,14,401900.000000003,245359.099067612
"rantau","Other","semi d",0,1,159,14,605000.000000014,340252.588321435
"kuah","Other","terrace house",0,1,434.999999999998,14,618799.99999997,666718.592594254
"taiping","Other","terrace house",0,1,192,14,229999.999999992,296187.37405298
"bakri","Other","terrace house",0,1,238.000000000001,14,610000.000000003,366525.176136168
"sungai udang","Other","terrace house",0,1,174.999999999999,14,290000.000000013,270160.668731681
"batu caves","Other","terrace house",0,0,580.999999999999,14,550000.000000025,850624.473356394
"ipoh","ipoh","terrace house",1,0,293.000000000001,14,515000.000000014,449039.586741641
"lunas","Other","terrace house",0,1,207,14,299999.999999989,319136.897411904
"yong peng","Other","terrace house",0,1,160.000000000001,14,239999.999999993,247179.340244918
"sungai lalang","Other","terrace house",1,1,150.000000000001,14,239999.999999993,247660.989883307
"lahat","Other","terrace house",0,0,224,14,280000.000000004,330435.580379231
"selayang","Other","condominium",0,0,315.999999999999,14,350000.000000001,360658.595300381
"kajang","kajang","apartment",0,1,310,14,309999.999999991,259564.466914855
"skudai","skudai","condominium",0,1,268.000000000001,14,270999.99999999,329486.736183392
"jelutong","Other","condominium",0,0,636.999999999998,14,689999.999999971,723000.012424806
"butterworth","Other","apartment",0,1,303,14,215000,250550.611557295
"cheras","cheras","condominium",0,1,322.000000000001,14,380000.000000012,390426.711581168
"klcc","Other","service residence",0,1,3017,14,11420499.9999997,2679188.72040192
"bukit mertajam","bukit mertajam","flat",0,0,281.999999999999,14,170000,160241.584433544
"puchong","puchong","apartment",0,1,458.000000000002,14,380000.000000012,405106.777172258
"johor bahru","johor bahru","flat",1,0,350,14,319999.999999997,280804.955806066
"mont kiara","Other","condominium",0,1,968.000000000003,14,2531000.0000001,1143752.21765111
"jitra","Other","apartment",0,1,240.999999999999,14,164999.999999997,199644.351766096
"jinjang","Other","cluster house",1,0,472.000000000002,13,299999.999999989,902293.862665265
"sikamat","Other","terrace house",0,1,178.999999999999,13,239999.999999993,276722.515716702
"tampin","Other","terrace house",0,1,160.999999999999,13,249998.000000004,249104.593859923
"jimah","Other","terrace house",0,1,434.999999999998,13,608299.00000003,667771.167206148
"kapar","kapar","terrace house",0,1,391.000000000002,13,549899.999999997,569250.374641143
"banting","Other","terrace house",0,1,226.999999999999,13,449999.999999999,350268.038322805
"shah alam","shah alam","terrace house",0,1,382.000000000002,13,600000.000000009,615252.340918854
"balakong","Other","terrace house",0,1,434.000000000002,13,389999.999999989,666248.200552487
"semenyih","Other","terrace house",0,1,290,13,389999.999999989,446612.124153673
"kuantan","kuantan","terrace house",0,1,156,13,250000.000000004,237973.461416341
"tampoi","Other","terrace house",0,0,206,13,330000.000000012,304564.393287839
"jelutong","Other","condominium",0,1,592.000000000003,13,780000.000000019,703321.813968348
"bayan lepas","Other","condominium",0,1,687.999999999997,13,595000.00000002,816402.086674248
"petaling jaya","Other","condominium",0,0,421.999999999999,13,429999.99999998,481295.923532357
"tanjong tokong","Other","condominium",0,1,1140,13,2549999.99999998,1347361.71775827
"cheras","cheras","condominium",0,1,401,13,328000.000000006,486137.056597874
"sentul","Other","condominium",0,0,393.999999999999,13,399999.999999992,449605.906094064
"puchong","puchong","flat",0,0,147,13,105000.000000004,99041.2224350983
"wangsa maju","Other","condominium",0,0,584.000000000002,13,1000000.00000003,664347.791653145
"bukit jambul","Other","apartment",0,1,370.999999999998,13,260000.000000009,306771.986268831
"desa parkcity","Other","condominium",0,1,949.000000000002,13,1834999.99999999,1123249.04837773
"batu caves","Other","flat",0,0,183,13,129999.999999998,114689.829223594
"sungai ara","Other","apartment",0,1,452.999999999998,13,399999.999999992,373984.324705735
"telok panglima garang","Other","terrace house",0,1,324,12,455000.000000006,499385.933229741
"petaling jaya","Other","terrace house",0,1,687,12,1189999.99999999,1052601.17100228
"kuching","kuching","terrace house",0,0,254.000000000001,12,722499.999999983,391195.338363775
"klang","klang","terrace house",0,1,311.999999999999,12,420000.00000002,516364.828668376
"banting","Other","terrace house",0,1,273,12,390899.999999982,421349.829641971
"penaga","Other","terrace house",1,1,204.000000000001,12,237499.999999992,337104.345551631
"sungai ara","Other","terrace house",0,1,483.999999999999,12,815000,743629.706207013
"lahad datu","Other","terrace house",0,0,152.000000000001,12,250000.000000004,225652.776030592
"serendah","Other","terrace house",0,1,397,12,475000.00000001,610918.3455194
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","terrace house",0,1,451.000000000001,12,850000.000000001,773719.347707275
"bandar sri sendayan","Other","terrace house",0,1,188,12,270999.99999999,291018.506499534
"batu berendam","Other","terrace house",0,0,232,12,274999.999999998,343266.305198903
"klang","klang","terrace house",0,0,285.999999999999,12,382499.999999989,453493.169399453
"bukit mertajam","bukit mertajam","semi d",0,1,247.999999999999,12,620000.000000015,483478.136228956
"triang","Other","terrace house",0,1,139,12,288000.000000005,215682.94783555
"kapar","kapar","terrace house",1,1,232,12,543000.000000015,362912.104026071
"sungei petai","Other","terrace house",0,1,160.000000000001,12,252500.000000012,247991.746274556
"simpang ampat","Other","terrace house",0,1,219,12,274999.999999998,338596.206865285
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","town house",0,1,319.999999999999,12,499999.999999986,574489.397340907
"batu pahat","batu pahat","terrace house",0,1,195.000000000001,12,299999.999999989,298596.847511182
"bukit kepayang","Other","terrace house",0,1,150.999999999999,12,299999.999999989,234149.506815815
"skudai","skudai","town house",0,1,274,12,280000.000000004,454563.339522071
"mont kiara","Other","condominium",0,1,649.999999999998,12,1475000.00000006,772973.022309411
"bukit jalil","Other","condominium",0,1,420.999999999999,12,452499.999999992,502373.195066238
"setia alam","Other","flat",0,1,300,12,200000.000000005,195944.01965803
"tebrau","tebrau","service residence",0,0,423.000000000001,12,389999.999999989,391922.898312133
"bandar kinrara","Other","service residence",0,0,255.000000000001,12,181499.999999992,221815.494548277
"cheras","cheras","condominium",0,0,419.999999999998,12,380000.000000012,488143.964758768
"sungai besi","Other","condominium",0,0,540,12,467500.00000001,615723.453609352
"ampang","ampang","service residence",0,1,597.999999999999,12,529999.999999998,485904.926138297
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","service residence",0,1,437,12,446150.000000001,441194.705528422
"jalan kuching","Other","condominium",0,1,293.000000000001,12,295000.000000013,350637.389854583
"setapak","Other","flat",0,0,271,12,189999.999999996,169602.826417718
"cyberjaya","Other","condominium",0,1,284.000000000001,12,364315.000000006,339950.914134698
"masai","Other","service residence",0,1,413.999999999998,12,410000.000000004,374698.842719406
"subang jaya","subang jaya","apartment",0,1,345,12,282499.999999991,307705.324513718
"tanjong tokong","Other","condominium",0,1,543.999999999998,12,569999.999999981,647831.369848607
"seremban","Other","terrace house",0,1,397,11,568000.000000007,612050.913458701
"bukit kepayang","Other","terrace house",0,1,209,11,260000.000000009,323854.055645354
