"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted","Error","Percent_Error"
"taman canning","ipoh","perak","terrace house",1,1,171,39.0000000000001,425000.000000019,254856.441167134,-170143.558832886,-40.0337785489124
"rpr bandar baru samariang","kuching","sarawak","terrace house",0,0,195.000000000001,39.0000000000001,200000.000000005,297238.788333739,97238.7883337339,48.6193941668656
"taman bukit katil damai","bukit katil","melaka","semi d",1,0,338,38.0000000000002,488000.000000007,645765.170033882,157765.170033875,32.3289282856296
"taman merpati indah","kulim","kedah","terrace house",0,1,330.000000000001,38.0000000000002,462000.000000011,510921.751677763,48921.7516777517,10.5891237397728
"taman gaya","ulu tiram","johor","cluster house",0,1,408.999999999999,38.0000000000002,1034400.00000002,592933.97431072,-441466.025689295,-42.6784634270387
"taman emas bidor","bidor","perak","terrace house",0,0,75,36.9999999999998,89999.9999999998,89497.0122871781,-502.98771282169,-0.558875236468546
"setia ecohill","beranang","selangor","cluster house",1,1,419.000000000001,36.9999999999998,680000.000000007,836690.352409553,156690.352409546,23.0426988837565
"bandar bukit tinggi","klang","selangor","terrace house",0,1,468.000000000001,36.9999999999998,750000.000000006,756651.610857024,6651.61085701862,0.886881447602476
"irama sendayan 2d","labu","negeri sembilan","terrace house",0,1,443.999999999998,36,628888.000000008,693778.384114568,64890.3841145595,10.3182735422776
"taman senggarang","senggarang","johor","terrace house",0,1,107,36,150000.000000001,162620.804626648,12620.8046266469,8.41386975109789
"elmina east","shah alam","selangor","terrace house",1,1,546.999999999999,36,921499.999999986,1240306.84401035,318806.844010368,34.5965104731821
"panorama lapangan perdana","ipoh","perak","terrace house",0,1,288.999999999999,34.9999999999999,568000.000000007,441534.598056703,-126465.401943304,-22.2650355533983
"taman nusaputra timur (reflexion)","dengkil","selangor","terrace house",0,0,944,33.9999999999999,1450000.00000006,1739944.3757277,289944.375727633,19.9961638432842
"taman tiang dua bestari","ayer molek","melaka","cluster house",1,1,174.999999999999,33.9999999999999,269100.000000001,315181.452927338,46081.4529273376,17.1242857403707
"bandar cyber ipoh","ipoh","perak","semi d",0,0,251.999999999999,33.9999999999999,608999.999999979,555475.994015114,-53524.005984865,-8.78883513708815
"villa wangsamas","wangsa maju","kuala lumpur","condominium",0,1,386,33.9999999999999,499999.999999986,416724.145648454,-83275.8543515318,-16.6551708703068
"sierra perdana","masai","johor","terrace house",1,1,361,33,494999.999999987,515145.968195743,20145.9681957562,4.06989256479934
"taman warisan puteri","ampangan","negeri sembilan","semi d",1,1,279.000000000001,33,433679.999999992,482869.925497104,49189.9254971122,11.342447310716
"ss3 petaling jaya","petaling jaya","selangor","terrace house",1,1,423.000000000001,32.0000000000001,1565000.00000001,700733.790143052,-864266.209856961,-55.2246779461312
"desa rening","rasa","selangor","terrace house",1,0,125,32.0000000000001,439927.999999992,215112.749127788,-224815.250872204,-51.1027374643596
"taman scientex (bukit tambun perdana)","durian tunggal","melaka","terrace house",0,1,226.000000000001,31.0000000000001,267000.000000004,307171.693706497,40171.6937064939,15.045578167226
"taman meru perdana","ipoh","perak","terrace house",0,1,305,31.0000000000001,406699.999999993,455014.716256321,48314.7162563279,11.879694186459
"taman tok muda","kapar","selangor","terrace house",0,1,300,31.0000000000001,396999.999999989,427594.094274103,30594.0942741146,7.70632097584774
"taman mutiara perdana","batu pahat","johor","terrace house",1,1,206,31.0000000000001,573000.000000014,323241.393454865,-249758.606545148,-43.587889449414
"taman cheras perdana","cheras","selangor","terrace house",0,1,361,31.0000000000001,445000.00000001,493639.992532391,48639.9925323816,10.9303354005349
"flat taman perling","perling","johor","flat",0,1,273,31.0000000000001,150000.000000001,170291.587759271,20291.5877592696,13.5277251728463
"taman ria mesra 2","gurun","kedah","terrace house",1,1,136,30.0000000000001,209999.999999999,226569.060915976,16569.0609159767,7.89002900760799
"bandar selesa jaya","skudai","johor","terrace house",0,1,323.000000000001,30.0000000000001,462499.999999992,510838.441631519,48338.4416315263,10.4515549473572
"taman pandan perdana","ampang","selangor","terrace house",0,0,483.999999999999,30.0000000000001,722499.999999983,611170.486829793,-111329.513170189,-15.4089291585041
"endah regal condominium","sri petaling","kuala lumpur","condominium",0,0,482,30.0000000000001,550000.000000025,531135.278370401,-18864.7216296248,-3.42994938720436
"taman desa saujana","arau","perlis","semi d",1,1,205,28.9999999999999,414428.000000003,340456.141768791,-73971.8582312124,-17.8491458664018
